,text,sentiment,label
78,i be sooo tire,negative,-1
79,"hey, you change your twitter account, and you didnt even tell me...",neutral,0
80,thank yyyyyyyyyoooooooooouuuuu!,positive,1
81,lucky kid...i so wanna see loserville pity im in oz....,positive,1
82,fell asleep wait for my ride!,neutral,0
83,sick. with a flu like thing.,negative,-1
84,"still no reply from about my simfinger problem so no irape parody video until i get a response, sorry guy",negative,-1
85,happy star war day everyone! and enjoy the holiday (uk),positive,1
86,miles from you im in essex so give me plenty of warn so i can arrive in time to get at least one of those free beers.,neutral,0
87,"his snore be so annoy n it keep me from sleep (like right now, lol) but i honestly wud miss it if it eva leave i love him.",neutral,0
88,i miss you bby wish you be go tomorrow to make me do good.,negative,-1
89,well what im work on isnt quite ready to post about publicly (still beta testing) but its a cool new script i cod,positive,1
90,sweeeeet - san fran be awesome!!!! love it there,positive,1
91,_mounce yes and it last way past my bedtime!,neutral,0
92,hi how be you do ??? *just join twitter...*,neutral,0
93,wait for sleep pills to kick in... gonna be so tire at work tomorrow,negative,-1
94,eat ice cream and then get ready for graduation.,neutral,0
95,happy mother day to all you mums out there,positive,1
96,"caseys gone?!?! but why?! so, she piddle a little on the carpet. shes prolly freak cause its new. can we get her back?",negative,-1
97,hemp cloth be marvelous but unfortunately no,negative,-1
98,gonna read a story bout adam lambert online then bed. nighty night,neutral,0
99,we saw that in none 3d - the baddies the best,positive,1
100,4am. and im on the beach. pretty,positive,1
101,"certainly not cheer than, huh?",neutral,0
102,"1 week post my'horrible, traumatic jump cholla accident.'-chollas next dirty trick:pieces be start to emerge from my hand! ouch!",negative,-1
103,i realy want to go out cause its so nice but everybodys busy,negative,-1
104,awesome. im down in ocean beach (if you know where that is.) by the way. 'yourbiggestfan' im a re-al big fan of you-rs.,positive,1
105,at least i get to watch over time let go pens!!,neutral,0
106,cool i wear black most of the time when i go out,neutral,0
107,haha i do not know how to work blip apart from the obvious! thank for reblipping my song have a nice day ****,positive,1
108,have a safe trip joshy poo.......youll knock them dead at your speech,positive,1
109,"woof, i wish i be allow to go",positive,1
110,if u have a friendster add me!!!!!!!!! my email adress add me loco_crime_1st.com add me leave some comment,neutral,0
111,have tickets.......?,neutral,0
112,"thank you, afrin nasal spray! also, i get a giant teacup tonight!",positive,1
113,acsm. its unfathomable. i think the other one .. and the .. be one that should be keep to the comfort of our bedrooms. yes?,neutral,0
114,"aww, i love my daddy! he work 7 days a week almost all day and still try to go to sf with all of us",positive,1
115,so many test todayyy i dont feel confident about anyy.,negative,-1
116,graduation be do im a little sad.. anyone want to hang out???,negative,-1
117,hahaa your awesomee !,positive,1
118,holy smokes! star trek be freak awesomeeeee,positive,1
119,"i hate fallout 3 it keep make me jump, im also low on health, money, ammo and food dont worry ill get through it.",neutral,0
120,"i have it! on my itunes, but then i lose all my songs.",neutral,0
121,whats with the gloomy weather? the sun must be too tire to come out and play head to victoria garden for some impulse buy haha,neutral,0
122,"not look forward to next week: maths, geography, english and french exams, total 7 hours",negative,-1
123,"poor you get outside and sleep in the garden, the sun will do you good. but dont forget suncream!!!",negative,-1
124,not well,negative,-1
125,not a prob hun,positive,1
126,"at dads, watch some mtv and be go on sims2 in a minutee",neutral,0
127,absolutely,neutral,0
128,whats the matter chickadee?,neutral,0
129,hey mia! totally adore your music. when will your cd be out?,positive,1
130,"shopping. cleaning. bmfing. webcam chat with nephews. nothing spesh, but a good bank holiday monday nonetheless",positive,1
131,=o you need to ask him something? lmao i love him too,positive,1
132,those splinter look very painful...but you be be very heroic save mr. pickle,negative,-1
133,why be you sad?,negative,-1
134,nice to see you tweeting! its sunday 10th may and be celebrate mother day here today. so be nice to yer mom,positive,1
135,decide 2 trans frm relax 2 natural hair but i wish my whole head look like my roots. age of the instant gratification....,positive,1
136,namaskar & namaste r both the same. marathi people say namaskar! its a marathi word.... should i ? ...naaaah !,neutral,0
137,"congrats! i cuss like that in a matter of minutes, but didnt know until now there be a reward for it.",neutral,0
138,humous and doritos.... oh yes,neutral,0
139,"miss all the awesome weather, because she be in a movie!",negative,-1
140,today be go to be a normal day for i hope. we have a group of pilot from a large airline come in last night so it be too much drink,neutral,0
141,"these kid be terrible! if i be in good evans, id call childline",negative,-1
142,"unfortunatley, aerlingus no longer fly to copenhagen so be have to fly ryanair to billund and drive up to copenhagen one of the days!",negative,-1
143,"whats sad be that i actually have to google that term. that sucks, tho.",negative,-1
144,hate fight,negative,-1
145,"i watch that too!!! i didnt want her to win, but she put up a good fight..lol",neutral,0
146,car-warmed sprite taste like sore throat,negative,-1
147,just come 11th in cross country and beat dumbo,neutral,0
148,candle wax be very enjoyable.,positive,1
149,"shes unassuming and unpretentious. shes just, as. i suppose thats why shes so endearing--because we can relate to her",positive,1
150,tomorrow valerias lunch!!! go to get my hair do but im arraving late get my cousins babtizm or whatever you spell it,neutral,0
151,goooooddd morning tweets!! week three of my workout. do i mention i get my new glass yesterday?!?,positive,1
152,me too. i hate my computer so much..,negative,-1
153,fine! go to do my big walk today 20 or so miles,positive,1
154,i want red cruisers!! i dont like the other ones. lmfao!,negative,-1
155,mmmmmmmm... ? it in the morning,neutral,0
156,me neither,neutral,0
157,"have about 10 hours work to do, on a sunday. boo. i will find time for a two hour lunchbreak though. yeah",neutral,0
158,bugger. forget i still have wash in my machine,negative,-1
159,"_laurie send love, bless & heal thoughts to you & family peace",positive,1
160,my back hurts...really bad,negative,-1
161,"ah yes, i know that feel",neutral,0
162,night of the cookers with my dad,neutral,0
163,my modem have be offline for a week now... god bless the 3g network. tim just left... again!! may schedule have be brutal,negative,-1
164,nope i be in coquitlam,neutral,0
165,have parent teacher thing yesterday!! so bore go to skl on saturday!! lol,negative,-1
166,#lichfield #tweetup sound like fun hope to see you and everyone else there!,positive,1
167,big boom thunder storm almost here. maybe we can all go home early??? ah... probably not.,neutral,0
168,few bevvies 2day in twn..great on a day off!!,positive,1
169,first night in myers. just not the same w/out lydia! but im actually excite about this summer!,positive,1
170,good morning,positive,1
171,its the best show ever!,positive,1
172,url in previous post (to timer job) should be http://bit.ly/a4fdb. id remove space which mess up url. ^es,negative,-1
173,i think iv hurt my tooth and eilish and cassie be have a draw competiton to draw cookies and pineapples haha :l .,neutral,0
174,i want to know when the audition be mander! text or...reply please!,neutral,0
175,or even nooooo not the secret namerebecca please,negative,-1
176,i miss my neice cant wait to see her bad n grow ****! lol,negative,-1
177,i need to get my computer fix,neutral,0
178,really hop her cars illness be not terminal...,negative,-1
179,"all the cool people i want to find for follow today be #english, and i guess the english dont tweet.",neutral,0
180,no sir...i woulda put honey...but i dont have any,neutral,0
181,who watch x-men origins: wolverine? i totally love it! haha,positive,1
182,i voted!!! do u have a personal myspace? i keep talk to fake i <3 you. u help me thru the hrdest time of my life! (: x,positive,1
183,im sad that i miss you guy last night!,negative,-1
184,finally get a call for marriage counsel 3 days late....,neutral,0
185,ok then,neutral,0
186,_420 why baby?,neutral,0
187,today be the last day of high school for me and i end up go home sick! ... stupid dead rat,negative,-1
188,be have an impromptu pool party... except i dont know how to swim so i cant get in,neutral,0
189,lose my tooth 2day whilst i be eat gum...oww,negative,-1
190,happy 1 year! <3,positive,1
191,"oh, i hella forget to say my official good morning like to hear it? here it go! goooooooooooood morrrrrrrrning twitterville! lol",positive,1
192,*phew* will make a note in case anyone else run into the same issueï¿½,neutral,0
193,what about me ?? i vote every day for you !!!!!,negative,-1
194,im starving!! this diet be kill me but i cant eat after 8pm,negative,-1
195,i talk to you,neutral,0
196,im soo bored...im deffo miss my music channel,negative,-1
197,nite nite bday girl have fun at concert,positive,1
198,"have nicotine replacement patch on for 4 hours. so far, so good, but i do sleep for most of those 4 hours. get a bite twitchy now",neutral,0
199,_sanderson whats with twatter lately? either i cant get on or the reply dont turn up!,neutral,0
200,should be sleeping. lose my voice a couple day ago.,negative,-1
201,http://twitpic.com/66xlm - hate when my park car get hit,negative,-1
202,ive hear this fall. im wait too!,neutral,0
203,more nightmares? *huggles*,neutral,0
204,i be such a creeper i feel disappoint because of it. **** my cyberstalking skills the internet = no more privacy.,negative,-1
205,go to bed its late and i have headache,negative,-1
206,happy mother day to all moms out there...,positive,1
207,grab coffee from then make mom breakfast,neutral,0
208,im think that im go to have fun tonight....and maybe some change be come,positive,1
209,thanks. before the major chop.,neutral,0
210,"haha i know, i cant handle the fame! and thank you!",positive,1
211,just get up and update my ipod,neutral,0
212,yes! sober hahaha tanghaling tapat dude! haha wild. i dont knowwww plan plan before you go to us!,positive,1
213,we never miss icarly - my son have a huge crush on miranda,positive,1
214,saw jam carville in the store today. his head be really that bald,neutral,0
215,yellow for ? http://blip.fm/~5z05g,neutral,0
216,which mean youre just go to have to come back to vancouver and have it our way! hahah,neutral,0
217,feel smooth like chrome,positive,1
218,ew traffic,negative,-1
219,"download songs while try to sneak a lil homework in too, which should be my main priority not songs lol",neutral,0
220,@_ra_ra_ your not alone...i need coffee too.,neutral,0
221,sound like me,neutral,0
222,bad day the day you realize what mess youve put me through will be one of the happiest days of my life...,neutral,0
223,walk to class. i hate not have a bike....especially mine.,negative,-1
224,_nesmith,neutral,0
225,"fail inspection. do you know you can pass wo/oven, but not wo/anti-tip bracket, which be only sell w/oven? this be worse than taxes.",negative,-1
226,"jonas brothers - live to party. its rock so hard i love the song,",positive,1
227,happy mother day to all the mother in the world.,positive,1
228,"35mins through the 1hr 20mins google wave demo, that look a lot of fun, would love to test it though. http://bit.ly/wnmsc",positive,1
229,sleepy tabz be head to bed. fun night! listen through the next episode of jossd!,positive,1
230,the exception for a short dude: larenz fineass tate yum,neutral,0
231,"screw the reviews, i think wolverine be awesome. but not enough dominic monaghan for my liking.",positive,1
232,"if you follow us recently, please dont be offend that we havent follow back. we hit our limit. hopefully we will be free soon.",positive,1
233,yes i work 6 to 3...,neutral,0
234,"hmmm, maybe thats what they meant. they elude to something brand new but you know how the media be",neutral,0
235,do at the spa now meet vic for some late lunch!,neutral,0
236,happy monday up and about go to tavares today. hope everyone have a bless day!,positive,1
237,always have want to go to oz,neutral,0
238,thx,neutral,0
239,http://twitpic.com/4jaz5 - cool... luv it,positive,1
240,thats why i need to be there...to represent the blackberry,positive,1
241,okay so im dedicate my 300th tweet to the fact that im go to the apple store because there be a huge crack on the glass screen!,neutral,0
242,if only we could ever actually be allow to stay here and do that,neutral,0
243,let me know how that turn out!!,neutral,0
244,be that sass i detect? as long as it isnt back sass! haha,neutral,0
245,"yeah i be think about that ,ahaha",positive,1
246,sport bar shatranjanpoli rest ph 26498457 all sport bar andheri w 26733333 dont know whether that helps. google ki jai ho,neutral,0
247,im not sleep at all until accept my appology,negative,-1
248,"wolverine be boss! seriously, and will.i.am be in it, what the **** ??",negative,-1
249,"i live for pain, bring it on",neutral,0
250,"okay, im out for a while back later!",neutral,0
251,#powerblog what be this powerblog challenge you keep talk about? im a newbie follower,neutral,0
252,almost died. laptop screen be set to 100% brightness after i reinstall windows vista. get a headache now #insanedefaults,positive,1
253,wait for tish to get off. get to drive my moms crv to pick her up all my myself and duckie. first time,neutral,0
254,"try to decide on a movie with the friends.. not go to well! lol :p no bible study 2nite, which mean ****-day cake buy my own??",negative,-1
255,go to shower because i dont want to smell at school tomorrow,neutral,0
256,sigh... you know i am...,neutral,0
257,"discover cause of a bug in the new #netplayer 4 build. publish bug fix now, hopefully new beta by tomorrow",positive,1
258,here be 4 free twitter tool will get you followers http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xpg0/,neutral,0
259,just get home from work.... and be chug down a big bottle of apple juice.,neutral,0
260,yes it does. please dont go. if you die i will cry.. which normally lead to small animals get harm,negative,-1
261,write report card soooo tire but what an amaze day. check it out on fb soon!,positive,1
262,it be only once for my big brother...and im do now,neutral,0
263,good news: finally finish my #easactive workout that have be pause for 6 hours. bad news: my resistance band be tear,neutral,0
264,"well good morning all, what a wonderful day in the neighborhood thank for all those that be now follow another 60 this morning",positive,1
265,ftsk and mercy mercedes be amaze tonight.. as always,positive,1
266,hope he be ok!,positive,1
267,cant school just be do already? it hurt too much... see him every day,positive,1
268,"i waited, listen to wind blow through the tumbleweed? be none of you old enough to know what to do when someone say 'crackerack'?",neutral,0
269,hell yeah!,neutral,0
270,him shirt at dinner? do you need to ask?? do it actually have ville on it?,neutral,0
271,i know!!,neutral,0
272,huh what the ****? smelly? noooo. i love alex vixon,neutral,0
273,"go to a party last night. dindin and i show up in match outfit ) great mind think alike ) anyway, happy birthday, eat lara",positive,1
274,"happy b-day! just wake up on this side of earth, so wish be bite late",positive,1
275,"thank you for teach me value and to be a better person each day i love so much, youre the best mum in the world",positive,1
276,happy mother day.!,positive,1
277,"*laughs* im glad that you have self confidence - its a wonderful trait to have ill applaud extra loud for it, okay?",positive,1
278,thank,positive,1
279,twitter after 2 days!,neutral,0
280,get ready for week its too nice today to be stick inside working!,positive,1
281,i be tres depress,negative,-1
282,"felt like ****, behave like my son; eat to compensate. pig out on home-roasted sugar almonds. painful tum, throw up, still feel sick.",negative,-1
283,happy mother day people. i love my mom a lot still,positive,1
284,im sorry to hear that.,negative,-1
285,"thats awesome dude, yay for surprise celebrities! i get to meet him a few years ago, he be soooo friendly.",positive,1
286,"it make me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,1
287,be get the hang of twitter.,neutral,0
288,you know your neck be jack up when you be force to pay for park bc you cant turn you head to parallel park in the free spaces...,negative,-1
289,i want it back now!: http://bit.ly/pp1wz,neutral,0
290,go to miss my roomie ... we will no longer be roomies start tomorrow,negative,-1
291,"bath with two little angels, keyla and janice.",neutral,0
292,"yep, finished, chock full of spell and grammatical errors, but im clean it up tomorrow and pop it up hehe",negative,-1
293,hahahha lol true that! i always remember my bd but i can never remember what date or even day it be,neutral,0
294,"family be here,hanging with them",neutral,0
295,watch ellen love her!! then do the dish and tan ...its gorgeous out!,positive,1
296,whats goin on hun? im worry about you,negative,-1
297,im not bannished... but i be at work till 6,negative,-1
298,"morning! if i get to see it, ill let you know. right now, im go to go see wolverine.",neutral,0
299,"red top tabloids, build em up, knock em down",neutral,0
300,tonight in party w/ my girls (minus vita),positive,1
301,why not now you make me sad i think youd be jump for joy,neutral,0
302,simple my a#@,neutral,0
303,"the pics i just upload be the baby pics of my cats. missy be now an adult and a pretty little kitty, but batty be in kitten heaven now",neutral,0
304,"i saw the play of it here, it be amaze",positive,1
305,_ i be glad to break my twitter virginity with you two.,positive,1
306,dinner with the fam... i have miss them,negative,-1
307,"_live thats what i want. more the better. bind to be a few bad egg though, but they will soon learn.",neutral,0
308,hell yeah kellynn get a twitter. finally.,neutral,0
309,"i know it be worth a shot, though!",positive,1
310,"just open a facebook account, im a little confuse i dont really get it. twitter seem much better",positive,1
311,ship. im stuck.,negative,-1
312,dustbin baby on at 11.30 cannot wait x,positive,1
313,"not go to dwell on it. it happened, its passed. just a shame as he be so supportive! such be life! x",negative,-1
315,it look like the office tv do get mlb network... and it look like mlbn will not be televise the det/bal game today #wieters,neutral,0
316,home empty handed. no comics find today. i shall now indulge in my cupcakes from magnolia bakery.,neutral,0
317,lay in bed til workkk... oh the life. definitely pinch a nerve.,negative,-1
318,today be a busy day. exhausting!,negative,-1
319,"i be go to go on sunday, but now ive get too much go on that weekend",neutral,0
320,sorry to hear ur flight get cancel that blows!!!,negative,-1
321,ohh my tooth be hurt ohh im sad it very hurt,negative,-1
322,"before i get too distracted, id like to thank my new followers for take the trouble to follow me! and to my others: feelin the love",positive,1
323,u think u have bill ha!ii just finish pay mine thats y im break,negative,-1
324,not sure it didnt say it be 2 big. i jst saw the pics of u on ur last bday. you look so pretty!! i miss you!!,neutral,0
325,sore throat. plan the tet out to marwell though...good time,neutral,0
326,mcfly gig last nightt omg it be amazin didnt sit down through the whole thing mcfly do you see me and ma best mate we be in tutus,positive,1
327,2 days without sleep and now a migraine. i think life postr01 be mean to be relax,negative,-1
328,there!,neutral,0
329,?sucks!?..,negative,-1
330,whens the sway sway winner announced?,neutral,0
331,k will check it out...,neutral,0
332,"do pretty well, up and wide awake",positive,1
333,"i want to wake up early, and get a coffee tomorrow (today) ! its go to be a busyy day! but have to keep writing.. booo whoo!",neutral,0
334,i miss daddy and mommy,negative,-1
335,"my dog be officially depress that my brothers dog be gone. he doesnt want to go outside and when we did, he play half-heartedly.",negative,-1
336,i just realize that i cant forward text msgs with my iphone.,neutral,0
337,"my frist post... off to find a new car for my parents, exciting!",positive,1
338,argh noo! miss the killers on wossy! that sucks! miss out on brandon. total failure! anyone know if its repeated? must investigate!,negative,-1
339,seriously bore without anyone to talk to... but not tire enough for sleep,negative,-1
340,i be lost. please help me find a good home.,negative,-1
341,"its a peter & gordon morning -> and i, go to piece and i wanna hide / go to piece and i almost die / ever... ? http://blip.fm/~5yk38",neutral,0
342,ok so ive now get a bite of a bad back after lift all drum hardware into my car downer.,negative,-1
343,lmao... smh! that one throw me off.,neutral,0
344,oh nice going!,positive,1
345,be get ready for work... work all weekend,neutral,0
346,gonna celebrate mother day with the family but gonna start the party tonite,positive,1
347,i agree with you!,positive,1
348,i only do computers. be hopeless at everything else,negative,-1
349,"90 degrees, gross skies, and thunderstorms...perfect match for my mood lol",positive,1
350,_2nd aww thanks!,positive,1
351,sorry rb be on ps3 for me,negative,-1
352,i saw amaze heeels. but they be too big,neutral,0
353,i just stick my finger down my throat and there be a bunch of bump on my tongue & throat.,negative,-1
354,dang last url go down ? http://blip.fm/~7aigm,negative,-1
355,"ohoh i miss all ur tweet im gonna have to stay awake all night to see the announcement now, **** time difference",negative,-1
356,damnit all. that sucks. you be one of the ones i think id drag back lol,negative,-1
357,my boss. shes move to nyc,neutral,0
358,this be sooo crazy i have fever..,negative,-1
359,be spend her saturday morning take note for a research essay because some stupid **** recall the book im using. not fair,negative,-1
360,i think i need some new friends,neutral,0
361,look forward to your gig in ireland!!! see ya there!,neutral,0
362,please review sunehre ad placement http://tinyurl.com/oow6mk,positive,1
363,aww you loooove me,positive,1
364,"be hungry, twitter. i want food. </3",neutral,0
365,awesome lucky you,positive,1
366,"yea, i should know.. but tell me everything! ps: send me direct message telling.. haha",neutral,0
367,"haha im jewish, i love that one",positive,1
368,"have a great time out in the beer garden wit the boyos !! i think the sun get to me a bite though, feel a bite ill !!",neutral,0
369,lm on 3 days too matt. no fun this weekend.,negative,-1
370,u really dont think so? maybe ur right....lol. btw what phone u using? think u tell me b4...i might have an app for u,neutral,0
371,i feel your pain. mine be the same way,negative,-1
372,come home in two days,neutral,0
373,sadly no. it didnt come with one...,negative,-1
374,cant wait to see my boy tomorrow,positive,1
375,ehhh no. just a check up. i have a dentist app next week though. get my molar pulled/root canal.,neutral,0
376,aww i miss drive down elmwood,negative,-1
377,omg wango tango be **** awsome! i love my baby for take me,positive,1
378,"version 2 of our live, interactive trans-siberian ticket planner be launched: http://tinyurl.com/c5ljwm - its very cool",positive,1
379,_30439 i really wish i could go!,positive,1
380,"yeah real hard, but i know youll get by with it... smile",neutral,0
381,im 25 in december thats not good at all next big birthday be 30 after 21 it fly by for sure,negative,-1
382,this have make my night!! way too funny!!,positive,1
383,woo cavs. happy mother day!,positive,1
384,i make that same face when i get home and your mom be watch soaps.,neutral,0
385,i have to go to work now.,neutral,0
386,i cant believe you go and get boba without me.,neutral,0
387,"and to you too, how be you today?",neutral,0
388,thank for the warm welcome! we didnt make plan because our arrival time be so up in the air.,positive,1
389,19 days and count,neutral,0
390,sorry friends - im swamp with deadlines right now and we have family visit to boot! no charades for me.,negative,-1
391,brainfreeze,neutral,0
392,just discover a shortcoming of gravity. when you use twitpic (integrated) it doesnt subtract the pic url from the 140 character limit,neutral,0
393,"my sunburn be peeling,",negative,-1
394,perky purple nail polish isnt as perky when its chip,neutral,0
395,"http://twitpic.com/4sx96 - before they put a camera in the smokers pit. i can no longer vandalize that door, without be caught.",neutral,0
396,lay alone!! since mooks soo comfy in his fn play pen. i think it be ill at first now i dont have no one to cuddle with...,negative,-1
397,i hate the dentist,negative,-1
398,"nothing aim at you, just join in...sorry",negative,-1
399,im take a twitter break. cell be die,negative,-1
400,qood morninq,neutral,0
401,write my english original write storyyyyy. and listen to a little respect by erasure aaaaaah.,neutral,0
402,need more followers,neutral,0
403,i wish i could get my nail do stupid job,negative,-1
404,the little wormy from labyrinth sadly pass away today but its ok as hes still around in a happy ghost form aww http://twitpic.com/67aim,neutral,0
405,the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral,0
406,have a good one,positive,1
407,"yep infact she be popular, miss india 99, talented film actress .... and lot more",positive,1
408,dosent want to go to work tomorrow,negative,-1
409,daniel have win dsds. his voice be great.,positive,1
410,[-o] i wish the birthday massacre would come to australia i think they say theyre think about it tho.. http://tinyurl.com/p6lfch,neutral,0
411,be hop to go to red lobster this weekend,neutral,0
412,_x_atl u mean jack barakats?! wow so have u ever go to his house? hehe i mean ur ssoo lucky to have the address!,positive,1
413,i sure do hope it become 4:20 this afternoon ...,positive,1
414,it mean that you be now famous. congrats!,positive,1
415,my phone pass away yesterday.. he jump off the table search for a new phone...,negative,-1
416,"i have such fantastic friends, include several ones meet through here! thank for be in my life - you be such amaze people!",positive,1
417,tamlyn wish she be as cool as my sock draw,positive,1
418,so no rice or crusty bread with the chili .... aawww,neutral,0
419,"we be of like mind this even , my dear!",neutral,0
420,come and save me from my pack please?!,neutral,0
421,"yes, i love tea. if that make me typically english then so be it",positive,1
422,a mouth for sure,positive,1
423,_dec0de i finally just have 1 hour of history... at 3.00 pm! but i go to my highschool at 8.00 be to make some homework with a friend,neutral,0
424,pancakes!! with lemon and sugar thanks!,positive,1
425,"si, no bueno i guess i just dont entertain him :/",negative,-1
426,im so hunrgy right now and these heel kill me i can hardly walk in them,negative,-1
427,both electronic key stop working. there be no keyhole! cant get in my car. so much for technology,negative,-1
428,"yay, three followers! good to know more than one person in this big wide world like fishies.",positive,1
429,'my name be tony!!!!!! ...not hey!!!!' - poor tony,negative,-1
430,goodmorning,positive,1
431,take a shift tomorrow. i dont really feel like work right now.,negative,-1
432,"i love mine, too . happy motherï¿½s day to your mom , john taylor . much love to you, too .",positive,1
433,saw a black snake in the garden. go back for a picture and it be go,neutral,0
434,http://twitpic.com/4wukt - we buy ludi her own rug. dog be the best,positive,1
435,no waterfront anymore faccia luna and clarendon will have to do,negative,-1
436,love her mum very much! happy mother day to all the wonderful mother out there,positive,1
437,slip up and catch the flu feel like poop!,negative,-1
438,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47days til mcfly, im so excite (l)",positive,1
439,ok ... the passengers ... no one be alive ... theyre all dead ... you just dont know it til the end ... then you cry ...,negative,-1
440,discover and be share on g reader with me and didnt even know it. sigh.... im such a g reader newb.,neutral,0
441,"be chill out tonite, so cannot spew venom or write funny. seem like these be the only 2 style she have",neutral,0
442,"if u do, please pray 4 me. lord know i need it.",neutral,0
443,aaaaaw i want to live in the usa,neutral,0
444,morning tweeple,positive,1
445,"hey, i didnt get any !!!",neutral,0
